window_time,drift_distance,threshold,drift_detected,accuracy,auc
2015-01-11 08:09:48.506820096,0.0,0.2626708132083387,0,0.9820807702594276,0.9973916716569126
2015-02-05 05:45:21.200667648,0.2712264919944934,0.2626708132083387,0,0.9755674232309747,0.9963946645121631
2015-02-28 16:39:17.016885504,0.26573110594884447,0.2626708132083387,0,0.9777539533637095,0.9957381803589669
2015-03-24 08:51:32.283909632,0.2549485380364687,0.2626708132083387,0,0.9722074468085107,0.9959219358953401
2015-04-19 23:55:22.089075712,0.2563560405558654,0.2626708132083387,0,0.9747596153846154,0.995621762789683
2015-05-16 05:23:02.882852864,0.24843648652541508,0.2626708132083387,0,0.9747910488002157,0.9951544258628651
2015-06-11 17:01:20.739780864,0.24769774793323787,0.2626708132083387,0,0.9754207854662036,0.9959718922349833
2015-07-07 02:48:50.688933888,0.2720397341233571,0.2626708132083387,0,0.9734143049932523,0.9954411281334216
2015-07-30 15:34:58.859391744,0.25354376499719955,0.2626708132083387,0,0.9753201707577375,0.9959192784331881
2015-08-21 15:05:12.752964864,0.24230866662414763,0.2626708132083387,0,0.9747978436657682,0.9951549073703082
2015-09-12 21:37:22.907615744,0.24166465965250686,0.2626708132083387,0,0.9737194958433897,0.9967122383874011
2015-10-05 21:53:33.587716864,0.24315944191906078,0.2626708132083387,0,0.9758022093634929,0.9972455237358975
2015-10-26 04:25:22.448119552,0.2466320485153263,0.2626708132083387,0,0.9733262203254202,0.9956075193809828
2015-11-13 17:02:05.369004800,0.24452774469294078,0.2626708132083387,0,0.9748830995323982,0.996506195164423
2015-12-02 07:12:01.405064960,0.2377753380618082,0.2626708132083387,0,0.9764169904863995,0.9966623651246994
2015-12-22 18:55:59.606276864,0.2500358669838321,0.2626708132083387,0,0.9703663793103449,0.9960126635069231
2016-01-10 08:06:09.746892288,0.2534075483650324,0.2626708132083387,0,0.9744776514149696,0.9959212977336231
